code,title,stock
2000-PCB-0006,PCB Connector sink/FLAME,5
2000-PCB-0008,PCB FLAME,0
2000-PCS-0001,PCS TERMINAL,0
2000-PIN-0001,PIN 2*40/M,0
2000-PIN-0002,PIN 2*20/M,2
2000-PIN-0003,PIN 1*40/F/15MM,33
2000-PIN-0004,PIN 1*40/M/10MM,2
2000-PIN-0005,PIN 1*40/M/34mm,85
2000-PIN-0015,PIN 1*40/F/0.4mm,98
2000-PIN-0016,PIN 2*40/F/0.4mm,100
2000-PIZ-0001,PIZ P53001/20bar,0
2000-PROBE-0001,پراب پنسي مولتي,1
2000-PROBE-0002,پراب سوزني مولتي متر,0
2000-PROBE-0003,پراب اسيلوسكوپ,7
2000-PROBE-0004,پراپ لاجيك آناليزور4041,2
2000-Pence-0001,پنس صاف,2
2000-Pence-0002,پنس مورب,2
2000-REG-0002,REG TPS54202DDCR,210
2000-REG-0003,REG  LM2678S-ADJ,1
2000-REL-0001,REL J114FL1CS1612VDC.41,82
2000-REL-0002,REL TIANBO/8,0
2000-REL-0003,REL TIANBO/4PIN,0
2000-REL-0004,REL PANASONIC/2021,0
2000-RES-0001,RES 0R/1206,305
2000-RES-0002,RES 0R/2512,9
2000-RES-0003,RES 0.01R/Shunt/2512,89
2000-RES-0004,RES 10R/1206,5064
2000-RES-0005,RES 15R/1206,100
2000-RES-0006,RES 22R-1206,5155
2000-RES-0007,RES 51R/1206,130
2000-RES-0008,RES 82R/1206,65
2000-RES-0009,RES 100R/1206,5270
2000-RES-0010,RES 120R/1206,5065
2000-RES-0011,RES 220R/1206,5585
2000-RES-0012,RES 330R/1206,5265
2000-RES-0013,RES 470R/1206,5155
2000-RES-0014,RES 560R/1206,5265
2000-RES-0015,RES 1k/1206,5800
2000-RES-0016,RES 1.2k/1206,5310
2000-RES-0017,RES 1.5k/1206,5210
2000-RES-0018,RES 1.65k/1206,20
2000-RES-0019,RES 2.2k/1206,5260
2000-RES-0020,RES 3.3k/1206,100
2000-RES-0021,RES 4.7k/1206,5255
2000-RES-0022,RES 8.2k/1206,5105
2000-RES-0023,RES 10k/1206,0
2000-RES-0024,RES 10.7k/1206,100
2000-RES-0025,RES 12k/1206,5105
2000-RES-0026,RES 33k/1206,5210
2000-RES-0027,RES 47k/1206,5210
2000-RES-0028,RES 100k/1206,5540
2000-RES-0029,RES 510k/1206,100
2000-RES-0030,RES 1M/1206,5255
2000-RES-0031,RES 1.2M/1206,10380
2000-RES-0032,RES 2.2M/1206,5270
2000-RES-0033,RES 5.6M/1206,5105
2000-RES-0034,RES 10M/1206,5105
2000-RES-0035,RES 3296W-1-102LF,409
2000-RES-0036,RES MOV-07D470K,555
2000-RES-0037,RES RF2623-000,465
2000-RES-0039,RES NTC10k/Termistor,7
2000-RES-0041,82R/2512,5000
2000-RES-0042,RES 10R/DIP,340
2000-RES-0043,RES 33R/DIP,165
2000-RES-0044,RES 17K/DIP,20
2000-RES-0045,RES 22K/DIP,6
2000-RES-0053,RES 33R/0603,0
2000-RES-0054,RES 100R/0603,0
2000-RES-0055,RES 10K/0603,0
2000-RES-0056,RES 0R/0603,0
2000-RES-0057,RES 0R/0805,0
2000-RES-0058,RES 120R/0603,0
2000-RES-0059,RES 220R/0603,0
2000-RES-0060,RES 330R/0603,0
2000-RES-0061,RES 680R/0603,0
2000-RES-0062,RES 1k/0603,0
2000-RES-0063,RES 1.5k/0603,0
2000-RES-0064,RES 2k/0603,0
2000-RES-0065,RES 2.2k/0603,5000
2000-RES-0066,RES 2.7k/0603,0
2000-RES-0067,RES 3.3k/0603,0
2000-RES-0068,RES 4.7k/0603,0
2000-RES-0069,RES 6.8k/0603,0
2000-RES-0070,RES 12k/0603,0
2000-RES-0071,RES 18k/0603,0
2000-RES-0072,RES 22k/0603,0
2000-RES-0073,RES 33k/0603,0
2000-RES-0074,RES 68k/0603,0
2000-RES-0075,RES 100k/0603,0
2000-RES-0076,RES 102k/0603,0
2000-RES-0077,RES 180K/0603,0
2000-RES-0078,RES 270K/0603,0
2000-RES-0079,RES 330K/0603,0
2000-SEN-0001,SEN IR446M10,7
2000-SEN-0002,SEN UVTRON R2868,291
2000-SEN-0003,SEN KEMET(USEQFCSA435100),80
2000-SOR-0001,SOR 7373,55
2000-SOR-0002,SOR  HYF38P30F250AG-S1,278
2000-SOR-0003,SOR XL-3838UV1Sa06G3,6
2000-SWI-0001,SWI  PS193Z10,1
2000-TRN-0001,TRN BCX5616TA,1000
2000-TRN-0002,TRN BC847BLT1G,2230
2000-TRN-0003,TRN MMBT5087LT1,10
2000-TRN-0004,TRN BC817-40.235,2130
2000-TRN-0006,TRN PC81710NIPIB,40
2000-Tools-0001,نوك هويه صاف,1
2000-Tools-0002,دستبند آنتي استاتيك,1
2000-Tools-0003,نازل دستگاه هويه,8
2000-Tools-0004,USB converter,7
2000-Tools-0005,سر هويه مورب 900M-T-IS,1
2000-USB-0001,USB BF MINI BODY/SMD,0
2000-VAR-0001,VAR SO7K30,10
2000-Volum-0001,VOLOM 10KOH  استريو دوبل معمولي,4
2000-Volum-0002,VOLOM 10KOH SINGEL TURL,10
2000-Volum-0003,VOLOM 1KOH SINGEL TURL,2
2000-WIR-0003,WIR BBW20 FM-FM 20C,40
2000-WIR-0007,connector wire 20CM,0
2000-XTL-0001,XTL 830014219B/32.768KHz/DIP,264
2000-XTL-0002,XTL ABLS-12.000MHZ-K4T,1015
2000-XTL-0003,XTL ABLS-12.000MHZ TXC SyPV,9
2000-brs-0001,برس ضد استاتيك(sunshine),1
2000-tools-0006,ليبل الكترونيك 30*10,0
